,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN
200,0.5465,0.4647,0.5683,0.4433,325
201,0.6151,0.3975,0.6525,0.3609,325
202,0.7484,0.267,0.9868,0.0334,325
203,1.0103,0.0104,0.9999,0.0206,325
204,0.1685,0.835,0.1926,0.8114,325
205,0.2633,0.7421,0.2817,0.7241,325
206,0.5635,0.448,0.5724,0.4393,325
207,0.5738,0.4379,0.6571,0.3563,325
208,0.9888,0.0314,0.9881,0.0321,325
209,0.966,0.0538,1.0004,0.0201,325
210,0.3719,0.6358,0.235,0.7698,325
211,0.2299,0.7748,0.3045,0.7017,325
212,0.5767,0.4351,0.5919,0.4202,325
213,0.7113,0.3033,0.6836,0.3304,325
214,1.0127,0.008,0.9917,0.0286,325
215,1.017,0.0038,1.0025,0.018,325
